event_time,normal_events,synthetic_events,total_events
139,46054,0,46054
140,37012,0,37012
141,16434,0,16434
142,12189,0,12189
143,7609,0,7609
144,3523,0,3523
145,1117,0,1117
146,522,0,522
147,84,0,84
148,12,0,12
149,22,0,22
150,14,55,69
151,18,65,83
152,6,0,6
153,19475,0,19475
154,29241,0,29241
155,29927,0,29927
156,27603,0,27603
157,29764,0,29764
158,27839,0,27839
159,27561,0,27561
160,27765,0,27765
161,33049,0,33049
162,40622,0,40622
163,46352,0,46352
164,39102,0,39102
165,16542,0,16542
166,12176,0,12176
167,7946,0,7946
168,3824,0,3824
169,1464,0,1464
170,529,0,529
171,14,0,14
172,10,0,10
173,14,0,14
174,10,0,10
175,8,0,8
176,10,0,10
177,17336,0,17336
178,28204,0,28204
179,30534,0,30534
180,31481,0,31481
181,31749,0,31749
182,31900,0,31900
183,31199,0,31199
184,32175,0,32175
185,37323,0,37323
186,43747,0,43747
187,49083,0,49083
188,39079,0,39079
189,17674,0,17674
190,12669,0,12669
191,9111,0,9111
192,4314,0,4314
193,1511,0,1511
194,671,0,671
195,141,0,141
196,8,0,8
197,4,0,4
198,12,0,12
199,10,0,10
200,8,0,8
201,17963,0,17963
202,31949,0,31949
203,36176,0,36176
204,36856,0,36856
205,33549,0,33549
206,29777,0,29777
207,28288,0,28288
208,29058,0,29058
209,30372,0,30372
210,33004,0,33004
211,36889,0,36889
212,34047,0,34047
213,14775,0,14775
214,10746,0,10746
215,7975,0,7975
216,4130,0,4130
217,3347,0,3347
218,12,0,12
219,10,0,10
220,6,0,6
221,10,0,10
222,8,0,8
223,8,0,8
224,10,0,10
225,18366,0,18366
226,27522,0,27522
227,30871,0,30871
228,30965,0,30965
229,28304,0,28304
230,26034,0,26034
231,26968,0,26968
232,27482,0,27482
233,14703,0,14703
234,34053,0,34053
235,47491,0,47491
236,37109,0,37109
237,16003,0,16003
238,10920,0,10920
239,8554,0,8554
240,4189,0,4189
241,1865,0,1865
242,637,0,637
243,8,0,8
244,12,0,12
245,4,0,4
246,4,0,4
247,8,0,8
248,10,0,10
249,23209,0,23209
250,31854,54,31908
251,35269,46,35315
252,35590,0,35590
253,33311,0,33311
254,29553,0,29553
255,28840,0,28840
256,28570,0,28570
257,26843,0,26843
258,27662,0,27662
259,43328,0,43328
260,33674,0,33674
261,14420,0,14420
262,11125,0,11125
263,8021,0,8021
264,4042,0,4042
265,1581,0,1581
266,767,0,767
267,77,0,77
268,6,0,6
269,14,0,14
270,16,0,16
271,12,0,12
272,12,0,12
273,7871,0,7871
274,19202,0,19202
275,24797,0,24797
276,26383,0,26383
277,25925,0,25925
278,25737,0,25737
279,25925,0,25925
280,25956,0,25956
281,27778,0,27778
282,31118,0,31118
283,36644,0,36644
284,33449,0,33449
285,14266,0,14266
286,11333,0,11333
287,6889,0,6889
288,4018,0,4018
289,1437,0,1437
290,487,0,487
291,44,0,44
292,8,0,8
293,4,0,4
294,18,0,18
295,10,0,10
296,22,0,22
297,20609,0,20609
298,29579,0,29579
299,31940,0,31940
300,31176,0,31176
301,30881,0,30881
302,29127,0,29127
303,24714,0,24714
304,26697,0,26697
305,34595,0,34595
306,43615,0,43615
307,46968,0,46968
308,36983,0,36983
309,15147,0,15147
310,11393,0,11393
311,9863,0,9863
312,3266,0,3266
313,1305,0,1305
314,512,0,512
315,12,0,12
316,12,0,12
317,20,0,20
318,6,0,6
319,8,0,8
320,14,0,14
321,17768,0,17768
322,27147,0,27147
323,29884,0,29884
324,29430,0,29430
325,27901,0,27901
326,26655,0,26655
327,25183,0,25183
328,26877,0,26877
329,32161,0,32161
330,36682,0,36682
331,40186,0,40186
332,36156,0,36156
333,14553,0,14553
334,12016,0,12016
335,10456,0,10456
336,2932,0,2932
337,320,0,320
338,529,0,529
339,10,0,10
340,10,0,10
341,10,0,10
342,14,0,14
343,12,0,12
344,6,0,6
345,14670,0,14670
346,26073,0,26073
347,30222,0,30222
348,29467,0,29467
349,29552,0,29552
350,28245,55,28300
351,26927,65,26992
352,27139,0,27139
353,30420,0,30420
354,40696,0,40696
355,44787,0,44787
356,33528,0,33528
357,15096,0,15096
358,12050,0,12050
359,7991,0,7991
360,3508,0,3508
361,1441,0,1441
362,504,0,504
363,14,0,14
364,6,0,6
365,14,0,14
366,10,0,10
367,14,0,14
368,6,0,6
369,14490,0,14490
370,25429,0,25429
371,28388,0,28388
372,29515,0,29515
373,28853,0,28853
374,27727,0,27727
375,26103,0,26103
376,20122,0,20122
377,18183,0,18183
378,37127,0,37127
379,41759,0,41759
380,37693,0,37693
381,14961,0,14961
382,11829,0,11829
383,7818,0,7818
384,3588,0,3588
385,1419,0,1419
386,633,0,633
387,28,0,28
388,18,0,18
389,10,0,10
390,12,0,12
391,12,0,12
392,10,0,10
393,19269,0,19269
394,28959,0,28959
395,22797,0,22797
396,34075,0,34075
397,30348,0,30348
398,26656,0,26656
399,30223,0,30223
400,30910,0,30910
401,33468,0,33468
402,40218,0,40218
403,45155,0,45155
404,36726,0,36726
405,16604,0,16604
406,12023,0,12023
407,7937,0,7937
408,8256,0,8256
409,483,0,483
410,20,0,20
411,16,0,16
412,8,0,8
413,289,0,289
414,16,0,16
415,16,0,16
416,2182,0,2182
417,6,0,6
418,6,0,6
419,1257,0,1257
420,2620,0,2620
421,14,0,14
422,1259,0,1259
423,766,0,766
424,14,0,14
425,28,0,28
426,5139,0,5139
427,14,0,14
428,2792,0,2792
429,2357,0,2357
430,8,0,8
431,1685,0,1685
432,4,0,4
433,6,0,6
434,8,0,8
435,4,0,4
436,248,0,248
437,16,0,16
438,12,0,12
439,883,0,883
440,18,0,18
441,10,0,10
442,1222,0,1222
443,10,0,10
444,20,0,20
445,64,0,64
446,12,0,12
447,10,0,10
448,2548,0,2548
449,1194,0,1194
450,16,57,73
451,3751,43,3794
452,308,0,308
453,59,0,59
454,39,0,39
455,824,0,824
456,18,0,18
457,10,0,10
458,438,0,438
459,8,0,8
460,59,0,59
461,83,0,83
462,16,0,16
463,10,0,10
464,16,0,16
465,12,0,12
466,984,0,984
467,12,0,12
468,12,0,12
469,6016,0,6016
470,12,0,12
471,2620,0,2620
472,84,0,84
473,10,0,10
474,2728,0,2728
475,14,0,14
476,3755,0,3755
477,10,0,10
478,1908,0,1908
479,904,0,904
480,6,0,6
481,14,0,14
482,16,0,16
483,317,0,317
484,6,0,6
485,12,0,12
486,8,0,8
487,912,0,912
488,8,0,8
489,14,0,14
490,3820,0,3820
491,12,0,12
492,5119,0,5119
493,1819,0,1819
494,8,0,8
495,3256,0,3256
496,873,0,873
497,20,0,20
498,12,0,12
499,10,0,10
500,6108,0,6108
501,28,0,28
502,313,0,313
503,1878,0,1878
504,10,0,10
505,936,0,936
506,8,0,8
507,14,0,14
508,6,0,6
509,288,0,288
510,10,0,10
511,6,0,6
512,12,0,12
513,10,0,10
514,8733,0,8733
515,6,0,6
516,14,0,14
517,1391,0,1391
518,3488,0,3488
519,12,0,12
520,3037,0,3037
521,14,0,14
522,18631,0,18631
523,30,0,30
524,2664,0,2664
525,8023,0,8023
526,2470,0,2470
527,2697,0,2697
528,937,0,937
529,33,0,33
530,409,0,409
531,250,0,250
532,95,0,95
533,12,0,12
534,531,0,531
535,6,0,6
536,12,0,12
537,18,0,18
538,3120,0,3120
539,4,0,4
540,5476,0,5476
541,12,0,12
542,4475,0,4475
543,6,0,6
544,9358,0,9358
545,3562,58,3620
546,7771,62,7833
547,2261,0,2261
548,5689,0,5689
549,642,0,642
550,4804,0,4804
551,949,0,949
552,1517,0,1517
553,8,0,8
554,18,0,18
555,144,0,144
556,6,0,6
557,20,0,20
558,14,0,14
559,10,0,10
560,10,0,10
561,16,0,16
562,10,0,10
563,3284,0,3284
564,3546,0,3546
565,5425,0,5425
566,1421,0,1421
567,4356,0,4356
568,14,0,14
569,1182,0,1182
570,1965,0,1965
571,4256,0,4256
572,18,0,18
573,3487,0,3487
574,2614,0,2614
575,8,0,8
576,877,0,877
577,364,0,364
578,269,0,269
579,12,0,12
580,58,0,58
581,10,0,10
582,775,0,775
583,16,0,16
584,281,0,281
585,2047,0,2047
586,1581,0,1581
587,2740,0,2740
588,4894,0,4894
589,6245,0,6245
590,6584,49,6633
591,57,51,108
592,5373,0,5373
593,4,0,4
594,6536,0,6536
595,5434,0,5434
596,9319,0,9319
597,2486,0,2486
598,934,0,934
599,1816,0,1816
600,18,0,18
601,865,0,865
602,8,0,8
603,12,0,12
604,8,0,8
605,16,0,16
606,14,0,14
607,8,0,8
608,1082,0,1082
609,8,0,8
610,1199,0,1199
611,14,0,14
612,2677,0,2677
613,45,0,45
614,1278,0,1278
615,8,0,8
616,6,0,6
617,2680,0,2680
618,8,0,8
619,2800,0,2800
620,8,0,8
621,1121,0,1121
622,4,0,4
623,6,0,6
624,10,0,10
625,24,0,24
626,6,0,6
627,4,0,4
628,6,0,6
629,20,0,20
630,150,0,150
631,12,0,12
632,8,0,8
633,8,0,8
634,10,0,10
635,16,0,16
636,12,0,12
637,3390,0,3390
638,14,0,14
639,14,0,14
640,1398,0,1398
641,10,0,10
642,1141,0,1141
643,14,0,14
644,2267,0,2267
645,10,0,10
646,20,0,20
647,10,0,10
648,14,0,14
649,263,0,263
650,16,0,16
651,10,0,10
652,14,0,14
653,8,0,8
654,8,0,8
655,4,56,60
656,1965,64,2029
657,10,0,10
658,14,0,14
659,2500,0,2500
660,12,0,12
661,4877,0,4877
662,2,0,2
663,10,0,10
664,1125,0,1125
665,10,0,10
666,6,0,6
667,1400,0,1400
668,8,0,8
669,322,0,322
670,1906,0,1906
671,18,0,18
672,153,0,153
673,445,0,445
674,14,0,14
675,30,0,30
676,8,0,8
677,8,0,8
678,6,0,6
679,72,0,72
680,22,0,22
681,4703,0,4703
682,6,0,6
683,2192,0,2192
684,4562,0,4562
685,14,47,61
686,4689,53,4742
687,8040,0,8040
688,7885,0,7885
689,14,0,14
690,4972,0,4972
691,4809,0,4809
692,6898,0,6898
693,4,0,4
694,2664,0,2664
695,2827,0,2827
696,6,0,6
697,12,0,12
698,65,0,65
699,55,0,55
700,6,0,6
701,18,0,18
702,14,0,14
703,8,0,8
704,16,0,16
705,2362,0,2362
706,4,0,4
707,309,0,309
708,4,0,4
709,2313,0,2313
710,1788,0,1788
711,8,0,8
712,23,0,23
713,8,0,8
714,681,0,681
715,1879,44,1923
716,140,56,196
717,632,0,632
718,918,0,918
719,14,0,14
720,10,0,10
721,4,0,4
722,10,0,10
723,14,0,14
724,14,0,14
725,4,0,4
726,22,0,22
727,12,0,12
728,10,0,10
729,4,0,4
730,28,0,28
731,16,0,16
732,10,0,10
733,10,0,10
734,8,0,8
735,12,0,12
736,14,0,14
737,10,0,10
738,10,0,10
739,10,0,10
740,6,0,6
741,22,0,22
742,14,0,14
743,8,0,8
