window_start,window_end,feature_cutoff,lookback_start,event_count,velocity_per_step,amount_mean,amount_std,amount_deviation,mean_interarrival_steps,unique_origins,unique_destinations,destination_entropy,amount_entropy,repetition_ratio,max_entity_relative_velocity,max_entity_relative_amount,max_entity_relative_velocity_lag1,max_entity_relative_amount_lag1,velocity_delta,amount_delta,is_synthetic_spike,scenario_ids
24,29,24,18,179487,29914.5,133078.99202415775,209058.7405852704,67563.99202415775,1.0,179479,109049,16.42620616340953,17.437544508978526,6.128577557148986e-05,0.6666666666666666,200000.0,0.6666666666666666,200000.0,0.0,0.0,False,
25,30,25,19,133124,22187.333333333332,127873.56530174875,210935.22633729514,71331.92030174875,1.0,133120,90455,16.23653769604592,17.009043558888266,7.511793515819838e-05,0.6666666666666666,200000.0,0.6666666666666666,200000.0,0.0,0.0,False,
26,31,26,20,83370,13895.0,121265.02083303344,213949.81790248345,81714.06083303344,1.0,83369,65546,15.861516709222144,16.337290975394374,9.595777857742594e-05,0.6666666666666666,84245.82,0.6666666666666666,200000.0,0.0,-115754.18,False,
27,32,27,21,43185,7197.5,115543.85950607852,224171.41269020113,92699.35950607852,1.0,43185,38628,15.173837397239726,15.391249500247556,0.0001157809424568716,0.3333333333333333,84245.82,0.6666666666666666,84245.82,-0.3333333333333333,0.0,False,
28,33,28,22,24074,4012.3333333333335,114666.3404594168,235831.07892108805,95922.95545941679,1.0,24074,22757,14.44210072122184,14.54870823140742,0.00016615435739802275,0.3333333333333333,84245.82,0.3333333333333333,84245.82,0.0,0.0,False,
29,34,29,23,11443,1907.1666666666667,114740.52152145417,247138.48994643922,97529.48152145417,1.0,11443,11151,13.430086633669784,13.475536096226335,0.00026216901162282616,0.3333333333333333,84245.82,0.3333333333333333,84245.82,0.0,0.0,False,
30,35,30,24,5303,883.8333333333334,123906.37318498963,265949.6840319222,106493.33318498963,1.0,5303,5237,12.347559111303639,12.362032972797541,0.0005657175183858194,0.3333333333333333,84245.82,0.3333333333333333,84245.82,0.0,0.0,False,
31,36,31,25,2095,349.1666666666667,126915.34790930788,292002.23552262405,111279.65790930788,1.0,2095,2082,11.020324027393393,11.006958872262128,0.0009546539379474941,0.3333333333333333,84245.82,0.3333333333333333,84245.82,0.0,0.0,False,
32,37,32,26,509,84.83333333333333,173170.86899803535,445880.33215018874,123106.55899803535,1.0,509,508,8.987592572991215,8.897219292048188,0.003929273084479371,0.3333333333333333,100423.7308,0.3333333333333333,84245.82,0.0,16177.910799999998,False,
33,38,33,27,81,13.5,539235.1179012347,981500.6077462243,245538.06790123467,1.0,81,81,6.339850002884626,5.747257410292033,0.012345679012345678,0.3333333333333333,100423.7308,0.3333333333333333,100423.7308,0.0,0.0,False,
34,39,34,28,23656,3942.6666666666665,180438.59977806895,334753.7219102726,96014.21977806895,1.0,23656,21631,14.351491904837406,14.52552218047068,0.00016909029421711193,0.3333333333333333,200000.0,0.3333333333333333,100423.7308,0.0,99576.2692,False,
35,40,35,29,54556,9092.666666666666,179080.78851968618,306201.1805698792,91364.63351968618,1.0,54556,45074,15.357329378354157,15.730317909522292,0.00012830852701810984,0.3333333333333333,200000.0,0.3333333333333333,200000.0,0.0,0.0,False,
36,41,36,30,83709,13951.5,179963.41475074363,306597.83446994284,90833.68475074363,1.0,83707,64067,15.821704060766567,16.346721736408814,9.556917416287376e-05,0.6666666666666666,200000.0,0.3333333333333333,200000.0,0.3333333333333333,0.0,False,
37,42,37,31,123475,20579.166666666668,177329.7901952622,286042.19625325577,85772.1901952622,1.0,123472,86665,16.20756343078431,16.90533521294451,7.288924883579672e-05,0.6666666666666666,200000.0,0.6666666666666666,200000.0,0.0,0.0,False,
38,43,38,32,157463,26243.833333333332,176834.48934340134,281589.0344485314,84527.00934340134,1.0,157456,104128,16.436052953315183,17.25450947433063,6.350698259273607e-05,0.6666666666666666,200000.0,0.6666666666666666,200000.0,0.0,0.0,False,
39,44,39,33,188904,31484.0,175104.1542522657,276218.4587223809,83030.01925226569,1.0,188891,119360,16.601523381899497,17.51527543148187,5.8230635666793715e-05,0.6666666666666666,200000.0,0.6666666666666666,200000.0,0.0,0.0,False,
40,45,40,34,188679,31446.5,172887.34805420847,263824.64292505424,79917.59805420847,1.0,188668,120076,16.616622823046463,17.513792107981534,5.830007579009853e-05,0.6666666666666666,189319.7764,0.6666666666666666,200000.0,0.0,-10680.223599999998,False,
41,46,41,35,192045,32007.5,170381.1703413783,255346.18686342193,77028.69034137831,1.0,192035,122711,16.654258664118025,17.539048381411185,5.207112916243589e-05,0.6666666666666666,189319.7764,0.6666666666666666,189319.7764,0.0,0.0,False,
42,47,42,36,199236,33206.0,166702.1863179847,240752.7710939672,73324.2063179847,1.0,199228,127080,16.704890915560114,17.5916572531583,5.019173241783613e-05,0.6666666666666666,158759.084,0.6666666666666666,189319.7764,0.0,-30560.6924,False,
43,48,43,37,200766,33461.0,163082.58228455018,238902.27336003096,71728.84728455018,1.0,200756,129615,16.74325629804153,17.60178513148586,4.9809230646623434e-05,0.6666666666666666,158759.084,0.6666666666666666,158759.084,0.0,0.0,False,
44,49,44,38,211826,35304.333333333336,157162.81986842977,230040.75735892655,68949.56986842977,1.0,211817,136448,16.815371852421883,17.67782973129493,4.720855796738833e-05,0.6666666666666666,158759.084,0.6666666666666666,158759.084,0.0,0.0,False,
45,50,45,39,218896,36482.666666666664,150203.75797205066,223492.77551205578,67126.09297205065,1.0,218887,142176,16.876938466097737,17.72426529954275,5.0252174548644106e-05,0.6666666666666666,158759.084,0.6666666666666666,158759.084,0.0,0.0,False,
46,51,46,40,214005,35667.5,146075.82340309807,222979.42027111838,67409.54340309807,1.0,213997,141945,16.88513019221452,17.691175130713404,5.1400668208686716e-05,0.6666666666666666,146707.1114,0.6666666666666666,158759.084,0.0,-12051.972600000008,False,
47,52,47,41,192180,32030.0,140738.61937922784,222745.38562230993,68134.40437922784,1.0,192175,133527,16.82396815089674,17.53673512117106,5.723800603600791e-05,0.6666666666666666,199555.22100000002,0.6666666666666666,146707.1114,0.0,52848.109600000025,False,
48,53,48,42,164513,27418.833333333332,134671.16353625548,222945.4978266962,69799.43353625547,1.0,164509,121117,16.715533007747744,17.312955348195498,4.862837587303131e-05,0.6666666666666666,199555.22100000002,0.6666666666666666,199555.22100000002,0.0,0.0,False,
49,54,49,43,128902,21483.666666666668,126728.22131534033,222495.0371700336,72952.49131534033,1.0,128899,102302,16.513368883999618,16.962344470459776,5.430482071651332e-05,0.6666666666666666,199555.22100000002,0.6666666666666666,199555.22100000002,0.0,0.0,False,
50,55,50,44,84606,14101.0,116760.19246944661,222875.81924235873,77837.26746944661,1.0,84605,73341,16.08204924142232,16.357089955515363,8.2736448951611e-05,0.6666666666666666,199555.22100000002,0.6666666666666666,199555.22100000002,0.0,0.0,False,
51,56,51,45,46089,7681.5,109609.23126863241,235998.7362244476,88499.16126863242,1.0,46088,43010,15.353645797023296,15.483884185326456,0.0001084857558202608,0.6666666666666666,199555.22100000002,0.6666666666666666,199555.22100000002,0.0,0.0,False,
52,57,52,46,27603,4600.5,105078.25556171431,240379.47846606022,89902.05556171431,1.0,27603,26625,14.680372472902885,14.744947343844196,0.00014491178495091114,0.3333333333333333,199555.22100000002,0.6666666666666666,199555.22100000002,-0.3333333333333333,0.0,False,
53,58,53,47,15166,2527.6666666666665,100413.47001384676,247682.71072351708,87838.55501384675,1.0,15166,14908,13.854031784117414,13.881036193653324,0.0001978108927864961,0.3333333333333333,149682.5024,0.3333333333333333,199555.22100000002,0.0,-49872.71860000002,False,
54,59,54,48,6495,1082.5,98446.6098290993,285991.0306849699,87870.7398290993,1.0,6495,6456,12.65310457245996,12.655568005870276,0.00030792917628945344,0.3333333333333333,149682.5024,0.3333333333333333,149682.5024,0.0,0.0,False,
55,60,55,49,806,134.33333333333334,126612.64323821338,466692.1911696876,118273.56823821338,1.0,806,806,9.654636028527968,9.597564068230202,0.0012406947890818859,0.3333333333333333,149682.5024,0.3333333333333333,149682.5024,0.0,0.0,False,
56,61,56,50,54,9.0,966167.3244444444,1472471.6293511572,398235.0144444443,1.0,54,54,5.7548875021634665,4.754887502163469,0.018518518518518517,0.3333333333333333,149682.5024,0.3333333333333333,149682.5024,0.0,0.0,False,
57,62,57,51,66,11.0,1070113.4445454543,1509628.9328805485,539380.0145454543,1.0,66,66,6.044394119358453,5.044394119358454,0.015151515151515152,0.3333333333333333,149682.5024,0.3333333333333333,149682.5024,0.0,0.0,False,
58,63,58,52,58,9.666666666666666,1127032.5572413793,1590824.7072625696,596299.1272413792,1.0,58,58,5.857980995127571,4.85798099512757,0.017241379310344827,0.3333333333333333,149682.5024,0.3333333333333333,149682.5024,0.0,0.0,False,
59,64,59,53,70,11.666666666666666,1240722.6465714287,1731265.9711980813,783977.4665714288,1.0,70,70,6.129283016944968,5.1292830169449655,0.014285714285714285,0.3333333333333333,142178.2844,0.3333333333333333,149682.5024,0.0,-7504.2179999999935,False,
60,65,60,54,80,13.333333333333334,1249256.5180000002,1710123.845629247,801771.6280000001,1.0,80,80,6.3219280948873635,5.321928094887363,0.0125,0.3333333333333333,142178.2844,0.3333333333333333,142178.2844,0.0,0.0,False,
61,66,61,55,88,14.666666666666666,1152440.3145454547,1657682.725996031,726873.6795454547,1.0,88,88,6.459431618637298,5.459431618637296,0.011363636363636364,0.3333333333333333,142178.2844,0.3333333333333333,142178.2844,0.0,0.0,False,
62,67,62,56,90,15.0,1186355.2402222222,1640162.269406756,710986.3002222222,1.0,90,90,6.491853096329675,5.491853096329674,0.011111111111111112,0.3333333333333333,142178.2844,0.3333333333333333,142178.2844,0.0,0.0,False,
63,68,63,57,80,13.333333333333334,1118558.96775,1621473.4379576487,652501.90775,1.0,80,80,6.3219280948873635,5.321928094887363,0.0125,0.3333333333333333,142178.2844,0.3333333333333333,142178.2844,0.0,0.0,False,
64,69,64,58,82,13.666666666666666,1104119.1739024392,1615338.1171060358,647373.9939024393,1.0,82,82,6.357552004618085,5.357552004618084,0.012195121951219513,0.3333333333333333,142178.2844,0.3333333333333333,142178.2844,0.0,0.0,False,
65,70,65,59,80,13.333333333333334,804830.892,988085.0377036841,382755.337,1.0,80,80,6.3219280948873635,5.321928094887363,0.0125,0.3333333333333333,78085.15019999999,0.3333333333333333,142178.2844,0.0,-64093.134200000015,False,
66,71,66,60,80,13.333333333333334,687568.26825,810071.7925966542,265492.71325,1.0,80,80,6.3219280948873635,5.321928094887363,0.0125,0.3333333333333333,75201.3608,0.3333333333333333,78085.15019999999,0.0,-2883.789399999994,False,
67,72,67,61,92,15.333333333333334,1016082.9128260869,1408907.9391246014,574907.6928260869,1.0,92,92,6.523561956057014,5.523561956057012,0.010869565217391304,0.3333333333333333,143382.5988,0.3333333333333333,75201.3608,0.0,68181.23800000001,False,
68,73,68,62,84,14.0,1017950.6402380953,1462072.9305231594,595875.0852380954,1.0,84,84,6.39231742277876,5.39231742277876,0.011904761904761904,0.3333333333333333,143382.5988,0.3333333333333333,143382.5988,0.0,0.0,False,
69,74,69,63,94,15.666666666666666,1179552.0776595746,1605630.6053967795,743234.5876595746,1.0,94,94,6.554588851677637,5.55458885167764,0.010638297872340425,0.3333333333333333,143382.5988,0.3333333333333333,143382.5988,0.0,0.0,False,
70,75,70,64,106,17.666666666666668,1398391.2718867925,1868789.2484320265,850121.2918867925,1.0,106,106,6.7279204545632,5.727920454563199,0.009433962264150943,0.3333333333333333,154579.8512,0.3333333333333333,143382.5988,0.0,11197.252399999998,False,
71,76,71,65,94,15.666666666666666,1452014.8382978726,1935671.3037559383,903744.8582978726,1.0,94,94,6.554588851677637,5.55458885167764,0.010638297872340425,0.3333333333333333,154579.8512,0.3333333333333333,154579.8512,0.0,0.0,False,
72,77,72,66,94,15.666666666666666,1423594.8768085109,1930937.4938846205,1036598.5368085108,1.0,94,94,6.554588851677637,5.55458885167764,0.010638297872340425,0.3333333333333333,154579.8512,0.3333333333333333,154579.8512,0.0,0.0,False,
73,78,73,67,84,14.0,1787384.6014285716,2435045.7777256216,1184981.0064285717,1.0,84,84,6.39231742277876,5.39231742277876,0.011904761904761904,0.3333333333333333,200000.0,0.3333333333333333,154579.8512,0.0,45420.148799999995,False,
74,79,74,68,86,14.333333333333334,1748467.2137209305,2417740.9845992187,1165895.3437209306,1.0,86,86,6.426264754702099,5.426264754702098,0.011627906976744186,0.3333333333333333,200000.0,0.3333333333333333,200000.0,0.0,0.0,False,
75,80,75,69,90,15.0,1714222.4151111105,2379800.546408564,1234330.3751111105,1.0,90,90,6.491853096329675,5.491853096329674,0.011111111111111112,0.3333333333333333,200000.0,0.3333333333333333,200000.0,0.0,0.0,False,
76,81,76,70,78,13.0,1522977.732564103,2229661.7729919096,1043085.692564103,1.0,78,78,6.285402218862252,5.285402218862248,0.01282051282051282,0.3333333333333333,200000.0,0.3333333333333333,200000.0,0.0,0.0,False,
77,82,77,71,76,12.666666666666666,1578996.6089473683,2251881.0737799895,1027932.9289473684,1.0,76,76,6.247927513443587,5.247927513443588,0.013157894736842105,0.3333333333333333,200000.0,0.3333333333333333,200000.0,0.0,0.0,False,
78,83,78,72,66,11.0,2155665.0127272727,2701865.2883488303,1345625.8227272728,1.0,66,66,6.044394119358453,5.044394119358454,0.015151515151515152,0.3333333333333333,200000.0,0.3333333333333333,200000.0,0.0,0.0,False,
79,84,79,73,62,10.333333333333334,1510220.266451613,2008935.4698401343,754407.146451613,1.0,62,62,5.954196310386872,4.954196310386877,0.016129032258064516,0.3333333333333333,180784.9364,0.3333333333333333,200000.0,0.0,-19215.063599999994,False,
80,85,80,74,64,10.666666666666666,1520512.31625,1972819.1343517487,737586.1612499999,1.0,64,64,6.0,5.0,0.015625,0.3333333333333333,180784.9364,0.3333333333333333,180784.9364,0.0,0.0,False,
81,86,81,75,52,8.666666666666666,1279061.8419230767,1942665.6502240957,568658.8519230767,1.0,52,52,5.7004397181410935,4.700439718141092,0.019230769230769232,0.3333333333333333,180784.9364,0.3333333333333333,180784.9364,0.0,0.0,False,
82,87,82,76,54,9.0,1310050.3640740737,1957344.829219406,877795.5240740736,1.0,54,54,5.7548875021634665,4.754887502163469,0.018518518518518517,0.3333333333333333,180784.9364,0.3333333333333333,180784.9364,0.0,0.0,False,
83,88,83,77,60,10.0,1706707.781,2516338.6671175505,964687.181,1.0,60,60,5.906890595608518,4.906890595608519,0.016666666666666666,0.3333333333333333,200000.0,0.3333333333333333,180784.9364,0.0,19215.063599999994,False,
84,89,84,78,62,10.333333333333334,1243310.9235483874,1958204.6581163495,811056.0835483873,1.0,62,62,5.954196310386872,4.954196310386877,0.016129032258064516,0.3333333333333333,200000.0,0.3333333333333333,200000.0,0.0,0.0,False,
85,90,85,79,68,11.333333333333334,1507182.6226470594,2486074.8182172906,1148110.0676470594,1.0,68,68,6.087462841250342,5.028639311838575,0.014705882352941176,0.3333333333333333,200000.0,0.3333333333333333,200000.0,0.0,0.0,False,
86,91,86,80,72,12.0,1692302.0738888888,2715473.239830493,1333796.1738888887,1.0,72,72,6.169925001442312,5.114369445886756,0.013888888888888888,0.3333333333333333,200000.0,0.3333333333333333,200000.0,0.0,0.0,False,
87,92,87,81,80,13.333333333333334,2155233.641,3202903.5138032953,1786511.471,1.0,80,80,6.3219280948873635,5.203055907333278,0.0125,0.3333333333333333,200000.0,0.3333333333333333,200000.0,0.0,0.0,False,
88,93,88,82,76,12.666666666666666,2168998.6042105258,3273063.499344395,1800276.4342105258,1.0,76,76,6.247927513443587,5.122798894965602,0.013157894736842105,0.3333333333333333,200000.0,0.3333333333333333,200000.0,0.0,0.0,False,
89,94,89,83,74,12.333333333333334,2211614.3518918916,3245405.6917746933,1846514.5918918916,1.0,74,74,6.20945336562895,5.155399311574898,0.013513513513513514,0.3333333333333333,200000.0,0.3333333333333333,200000.0,0.0,0.0,False,
90,95,90,84,68,11.333333333333334,2282481.3641176475,3365253.825662969,1937528.0241176477,1.0,68,68,6.087462841250342,5.028639311838575,0.014705882352941176,0.3333333333333333,200000.0,0.3333333333333333,200000.0,0.0,0.0,False,
91,96,91,85,68,11.333333333333334,2049587.6047058832,3209282.941722761,1727681.7247058833,1.0,68,68,6.087462841250342,5.087462841250339,0.014705882352941176,0.3333333333333333,200000.0,0.3333333333333333,200000.0,0.0,0.0,False,
92,97,92,86,62,10.333333333333334,1904724.2758064514,3098425.9248477845,1566729.6358064516,1.0,62,62,5.954196310386872,4.954196310386877,0.016129032258064516,0.3333333333333333,200000.0,0.3333333333333333,200000.0,0.0,0.0,False,
93,98,93,87,54,9.0,1264471.468518518,2281133.5826128908,992563.0685185179,1.0,54,54,5.7548875021634665,4.754887502163469,0.018518518518518517,0.3333333333333333,186914.0014,0.3333333333333333,200000.0,0.0,-13085.998599999992,False,
94,99,94,88,4492,748.6666666666666,149999.1914492431,384873.96454093297,106079.04144924312,1.0,4492,4461,12.119339897173534,12.1184494252234,0.0004452359750667854,0.3333333333333333,186914.0014,0.3333333333333333,186914.0014,0.0,0.0,False,
95,100,95,89,14856,2476.0,129634.05834073776,286009.708975044,100990.12834073775,1.0,14856,14511,13.811702455749511,13.85041130402805,0.00020193861066235866,0.3333333333333333,153936.72699999998,0.3333333333333333,186914.0014,0.0,-32977.274400000024,False,
96,101,96,90,21708,3618.0,127938.08868389532,296828.64891115396,104918.70368389532,1.0,21708,21039,14.343294466165194,14.397796808622381,0.00013819789939192924,0.3333333333333333,175511.8886,0.3333333333333333,153936.72699999998,0.0,21575.16160000002,False,
97,102,97,91,28042,4673.666666666667,124636.37859674775,306119.1210675399,105624.75359674775,1.0,28042,27023,14.701171254675929,14.767001403652984,0.00010698238356750588,0.3333333333333333,200000.0,0.3333333333333333,175511.8886,0.0,24488.111399999994,False,
98,103,98,92,28719,4786.5,124147.67081757722,305404.66106416436,105186.49081757723,1.0,28719,27648,14.733634863013583,14.80140441279321,0.00010446046171524079,0.3333333333333333,200000.0,0.3333333333333333,200000.0,0.0,0.0,False,
99,104,99,93,28723,4787.166666666667,124448.49978867109,306159.0064771965,105487.3197886711,1.0,28723,27653,14.733916014500213,14.801467234780866,0.00010444591442398078,0.3333333333333333,200000.0,0.3333333333333333,200000.0,0.0,0.0,False,
100,105,100,94,24287,4047.8333333333335,122676.17008934822,315467.0826925221,105534.31008934822,1.0,24287,23541,14.505407846304655,14.559960128907338,0.0001235228723185243,0.3333333333333333,200000.0,0.3333333333333333,200000.0,0.0,0.0,False,
101,106,101,95,13921,2320.1666666666665,121814.13376337905,344096.3142270362,107224.17376337905,1.0,13921,13702,13.733295065834998,13.757504501221009,0.00021550175993103942,0.3333333333333333,200000.0,0.3333333333333333,200000.0,0.0,0.0,False,
102,107,102,96,7075,1179.1666666666667,120741.02580636041,370352.02187392034,109677.06580636042,1.0,7075,7016,12.771729289496761,12.778903125186112,0.00042402826855123676,0.3333333333333333,200000.0,0.3333333333333333,200000.0,0.0,0.0,False,
103,108,103,97,737,122.83333333333333,165723.13080054274,436735.2157376161,142945.30080054275,1.0,737,736,9.522807104888827,9.441395978701582,0.0027137042062415195,0.3333333333333333,91788.8288,0.3333333333333333,200000.0,0.0,-108211.1712,False,
104,109,104,98,60,10.0,882289.0076666666,982744.2658255565,234495.71266666672,1.0,60,60,5.906890595608518,4.906890595608519,0.016666666666666666,0.3333333333333333,91788.8288,0.3333333333333333,91788.8288,0.0,0.0,False,
105,110,105,99,60,10.0,796840.9913333334,956709.1755744965,202939.3213333335,1.0,60,60,5.906890595608518,4.906890595608519,0.016666666666666666,0.3333333333333333,91788.8288,0.3333333333333333,91788.8288,0.0,0.0,False,
106,111,106,100,70,11.666666666666666,717915.9282857141,752558.1706676092,178828.13828571409,1.0,70,70,6.129283016944968,5.1292830169449655,0.014285714285714285,0.3333333333333333,59762.066,0.3333333333333333,91788.8288,0.0,-32026.762800000004,False,
107,112,107,101,82,13.666666666666666,727415.1651219513,792855.8533902729,216035.26512195123,1.0,82,82,6.357552004618085,5.357552004618084,0.012195121951219513,0.3333333333333333,59762.066,0.3333333333333333,59762.066,0.0,0.0,False,
108,113,108,102,80,13.333333333333334,658097.7895,721746.6558702746,193062.32949999993,1.0,80,80,6.3219280948873635,5.321928094887363,0.0125,0.3333333333333333,59762.066,0.3333333333333333,59762.066,0.0,0.0,False,
109,114,109,103,76,12.666666666666666,812248.1039473685,1262981.850961043,449485.8889473685,1.0,76,76,6.247927513443587,5.247927513443588,0.013157894736842105,0.3333333333333333,141204.3388,0.3333333333333333,59762.066,0.0,81442.2728,False,
110,115,110,104,80,13.333333333333334,807951.426,1319100.8245079974,590031.091,1.0,80,80,6.3219280948873635,5.321928094887363,0.0125,0.3333333333333333,141204.3388,0.3333333333333333,141204.3388,0.0,0.0,False,
111,116,111,105,76,12.666666666666666,864698.5613157895,1349955.4438304657,628745.0263157894,1.0,76,76,6.247927513443587,5.247927513443588,0.013157894736842105,0.3333333333333333,141204.3388,0.3333333333333333,141204.3388,0.0,0.0,False,
112,117,112,106,68,11.333333333333334,912216.320882353,1428256.4587525455,576662.085882353,1.0,68,68,6.087462841250342,5.087462841250339,0.014705882352941176,0.3333333333333333,141204.3388,0.3333333333333333,141204.3388,0.0,0.0,False,
113,118,113,107,52,8.666666666666666,955922.320769231,1547426.9291396963,495828.6557692309,1.0,52,52,5.7004397181410935,4.700439718141092,0.019230769230769232,0.3333333333333333,141204.3388,0.3333333333333333,141204.3388,0.0,0.0,False,
114,119,114,108,48,8.0,1012977.89875,1606417.176848776,604741.36875,1.0,48,48,5.584962500721155,4.584962500721156,0.020833333333333332,0.3333333333333333,141204.3388,0.3333333333333333,141204.3388,0.0,0.0,False,
115,120,115,109,44,7.333333333333333,928315.4809090908,1104020.8718518289,409740.0309090909,1.0,44,44,5.459431618637296,4.459431618637296,0.022727272727272728,0.3333333333333333,71918.22780000001,0.3333333333333333,141204.3388,0.0,-69286.11099999999,False,
116,121,116,110,42,7.0,944855.6414285715,956354.0248083216,370146.01142857154,1.0,42,42,5.39231742277876,4.392317422778761,0.023809523809523808,0.3333333333333333,71918.22780000001,0.3333333333333333,71918.22780000001,0.0,0.0,False,
117,122,117,111,46,7.666666666666667,1026409.0900000002,1005548.3781226025,451699.4600000002,1.0,46,46,5.523561956057012,4.523561956057012,0.021739130434782608,0.3333333333333333,71918.22780000001,0.3333333333333333,71918.22780000001,0.0,0.0,False,
118,123,118,112,48,8.0,1016014.9708333336,1071998.4083120963,489593.6158333336,1.0,48,48,5.584962500721155,4.584962500721156,0.020833333333333332,0.3333333333333333,80653.8268,0.3333333333333333,71918.22780000001,0.0,8735.598999999987,False,
119,124,119,113,58,9.666666666666666,1416037.980689655,1971556.3437353193,518610.810689655,1.0,58,58,5.857980995127571,4.85798099512757,0.017241379310344827,0.3333333333333333,200000.0,0.3333333333333333,80653.8268,0.0,119346.1732,False,
120,125,120,114,5792,965.3333333333334,126143.56500863259,355441.94376749924,112624.51500863259,1.0,5792,5757,12.48762991893711,12.487760251724085,0.0005179558011049724,0.3333333333333333,200000.0,0.3333333333333333,200000.0,0.0,0.0,False,
121,126,121,115,8932,1488.6666666666667,123199.63665360503,326433.7013843613,109317.32665360504,1.0,8932,8838,13.103466073383323,13.11469140505669,0.0003358710255261979,0.3333333333333333,200000.0,0.3333333333333333,200000.0,0.0,0.0,False,
